#benchmark,samples,time(ms),area
fig3,512,0.849696,296
fig3,2048,0.818912,296
fig3,8192,0.847936,296
fig3,16384,0.990976,296
fig3,32768,1.149600,296
fig3,65536,1.374336,296
fig3,131072,1.999840,296
fig3,524288,5.235808,296
fig3,1048576,9.509152,296
fig3,2097152,18.052320,296
fig3,4194304,35.281406,296
poly4,512,0.822144,517
poly4,2048,0.883232,503
poly4,8192,0.913440,492
poly4,16384,1.058528,489
poly4,32768,1.410592,477
poly4,65536,1.889952,478
poly4,131072,2.969856,468
poly4,524288,9.115104,468
poly4,1048576,17.260416,468
poly4,2097152,33.588383,467
poly4,4194304,66.219872,467
poly6,512,0.871584,1076
poly6,2048,0.867680,1043
poly6,8192,1.031648,990
poly6,16384,1.152800,976
poly6,32768,1.567584,950
poly6,65536,2.279808,953
poly6,131072,3.540224,964
poly6,524288,11.276448,941
poly6,1048576,21.576193,937
poly6,2097152,42.119167,926
poly6,4194304,83.332413,935
poly8,512,0.945824,1782
poly8,2048,0.932768,1398
poly8,8192,1.061824,1358
poly8,16384,1.317856,1383
poly8,32768,1.690688,1360
poly8,65536,3.059392,1303
poly8,131072,4.016096,1329
poly8,524288,11.438752,1274
poly8,1048576,22.556671,1235
poly8,2097152,43.210239,1284
poly8,4194304,84.559647,1247
diode,512,0.862784,3833
diode,2048,0.871808,3771.07
diode,8192,0.874080,3771
diode,16384,0.975392,3767.07
diode,32768,1.168960,3747
diode,65536,1.470496,3753
diode,131072,2.222240,3738
diode,524288,6.159456,3731
diode,1048576,11.329376,3735
diode,2097152,21.646048,3732
diode,4194304,42.708191,3735
level1_linear,512,0.782176,353
level1_linear,2048,0.833024,351
level1_linear,8192,0.875232,340
level1_linear,16384,0.976160,339
level1_linear,32768,1.149472,339
level1_linear,65536,1.509024,339
level1_linear,131072,2.314144,339
level1_linear,524288,6.207296,339
level1_linear,1048576,11.476800,339
level1_linear,2097152,22.075232,339
level1_linear,4194304,43.147362,339
level1_satur,512,0.814976,354
level1_satur,2048,0.860480,349
level1_satur,8192,0.933440,340
level1_satur,16384,1.085120,336
level1_satur,32768,1.354560,336
level1_satur,65536,1.940992,338
level1_satur,131072,3.049440,335
level1_satur,524288,9.181344,335
level1_satur,1048576,17.486336,335
level1_satur,2097152,34.011360,334
level1_satur,4194304,66.920639,333
approx1,512,0.837600,643
approx1,2048,0.851520,630
approx1,8192,0.912928,619
approx1,16384,1.073152,618
approx1,32768,1.389440,616
approx1,65536,1.893920,614
approx1,131072,2.909248,611
approx1,524288,9.068672,611
approx1,1048576,17.247040,605
approx1,2097152,33.431137,600
approx1,4194304,66.376831,593
approx2,512,0.897440,13122.8
approx2,2048,0.916832,12984.5
approx2,8192,0.994432,12781.8
approx2,16384,1.232320,12737.7
approx2,32768,1.527616,12705.3
approx2,65536,2.265280,12656.4
approx2,131072,3.694016,12622.4
approx2,524288,11.734112,12563.3
approx2,1048576,22.480703,12546.3
approx2,2097152,44.034145,12536
approx2,4194304,87.225151,12502.6
