#design,MC_size,time(ms),area_min,area_max,area_aver,area_mean
fig3,4,0.280352,357,         390,373.50,373.13536417766700
fig3,8,0.283456,306,         376,345.66,344.73687604658400
fig3,16,0.299328,301,        356,330.55,329.94575324270600
fig3,32,0.451616,301,        354,320.44,319.94815850324600
fig3,64,0.455968,297,        338,311.60,311.3550709331500
fig3,128,0.449952,300,       323,308.50,308.3953721329500
fig3,256,0.467872,300,       316,304.10,304.06783715174300
fig3,512,0.730592,300,       305,301.40,301.39662991544400
fig3,1024,0.732544,297,      302,298.90,298.89584375816100
fig3,2048,0.737024,297,      300,298.60,298.59859369459200
fig3,4096,0.738688,296,      300,298.20,298.19805307854300
fig3,8192,0.785536,296,      298,296.60,296.59892273658600
fig3,16384,0.880448,296,     298,296.90,296.89917498431400
fig3,32768,1.095872,296,     297,296.50,296.4995784145400
fig3,65536,1.433888,296,     297,296.30,296.29964594782500
fig3,131072,2.114912,296,    296,296.00,296.00
fig3,262144,3.509952,296,    296,296.00,296.00
fig3,524288,6.167744,296,    296,296.00,296.00
fig3,1048576,11.519392,296,  296,296.00,296.00
fig3,2097152,22.359968,296,  296,296.00,296.00
fig3,4194304,44.141918,296,  296,296.00,296.00
