#design   MC_size   block_size   #MC time (ms)
fig3   8192   32   4.268800
fig3   8192   96   3.140992
fig3   8192   128   3.176704
fig3   8192   160   3.146048
fig3   8192   224   3.147584
fig3   8192   480   3.516096
fig3   8192   512   3.462240
fig3   8192   576   4.892608
fig3   8192   640   3.188896
fig3   8192   736   3.257280
fig3   8192   800   3.253472
fig3   8192   928   3.576768
fig3   8192   1024   3.688320
fig3   16384   32   6.454752
fig3   16384   96   5.443104
fig3   16384   128   5.313088
fig3   16384   160   5.718880
fig3   16384   224   5.449344
fig3   16384   480   6.092928
fig3   16384   512   5.736160
fig3   16384   576   7.333248
fig3   16384   640   5.854784
fig3   16384   736   5.939264
fig3   16384   800   6.057664
fig3   16384   928   6.210016
fig3   16384   1024   6.582016
fig3   32768   32   12.548864
fig3   32768   96   9.508064
fig3   32768   128   9.487808
fig3   32768   160   9.646944
fig3   32768   224   9.841440
fig3   32768   480   10.405440
fig3   32768   512   10.138080
fig3   32768   576   13.567360
fig3   32768   640   12.519776
fig3   32768   736   11.921984
fig3   32768   800   12.326016
fig3   32768   928   10.675296
fig3   32768   1024   10.741472
fig3   65536   32   28.485792
fig3   65536   96   21.097153
fig3   65536   128   20.353920
fig3   65536   160   21.865952
fig3   65536   224   21.849567
fig3   65536   480   22.702335
fig3   65536   512   21.234016
fig3   65536   576   29.597984
fig3   65536   640   29.521441
fig3   65536   736   26.918144
fig3   65536   800   25.712000
fig3   65536   928   23.689056
fig3   65536   1024   22.233728
fig3   131072   32   76.176163
fig3   131072   96   54.588322
fig3   131072   128   53.440704
fig3   131072   160   55.435905
fig3   131072   224   57.729694
fig3   131072   480   57.942081
fig3   131072   512   55.650082
fig3   131072   576   78.031555
fig3   131072   640   75.754562
fig3   131072   736   69.559166
fig3   131072   800   65.026466
fig3   131072   928   59.875839
fig3   131072   1024   58.658943
poly4   8192   32   4.317792
poly4   8192   96   3.213024
poly4   8192   128   3.154336
poly4   8192   160   3.166400
poly4   8192   224   3.154816
poly4   8192   480   3.512864
poly4   8192   512   3.539200
poly4   8192   576   4.907584
poly4   8192   640   3.213024
poly4   8192   736   3.333632
poly4   8192   800   3.319712
poly4   8192   928   3.608544
poly4   8192   1024   3.783392
poly4   16384   32   6.567424
poly4   16384   96   5.475168
poly4   16384   128   5.455584
poly4   16384   160   5.779232
poly4   16384   224   5.545376
poly4   16384   480   6.158784
poly4   16384   512   5.824544
poly4   16384   576   7.462848
poly4   16384   640   5.850144
poly4   16384   736   6.027616
poly4   16384   800   6.207840
poly4   16384   928   6.215136
poly4   16384   1024   6.677632
poly4   32768   32   12.570400
poly4   32768   96   9.652896
poly4   32768   128   9.618144
poly4   32768   160   9.817216
poly4   32768   224   9.901280
poly4   32768   480   10.456128
poly4   32768   512   10.362176
poly4   32768   576   13.658016
poly4   32768   640   12.568672
poly4   32768   736   12.090688
poly4   32768   800   12.413408
poly4   32768   928   10.685440
poly4   32768   1024   11.008352
poly4   65536   32   28.852032
poly4   65536   96   21.243135
poly4   65536   128   20.378176
poly4   65536   160   21.836927
poly4   65536   224   22.227392
poly4   65536   480   22.796000
poly4   65536   512   21.348961
poly4   65536   576   30.127808
poly4   65536   640   29.565121
poly4   65536   736   26.891264
poly4   65536   800   25.825377
poly4   65536   928   23.940289
poly4   65536   1024   22.531649
poly4   131072   32   76.525345
poly4   131072   96   54.783489
poly4   131072   128   53.695839
poly4   131072   160   56.053825
poly4   131072   224   58.206718
poly4   131072   480   58.506977
poly4   131072   512   55.906368
poly4   131072   576   77.784195
poly4   131072   640   76.027107
poly4   131072   736   70.425087
poly4   131072   800   65.114914
poly4   131072   928   61.079807
poly4   131072   1024   58.693375
