#block_size   #MC time (ms)
32  232.211166
64  162.665726
96  177.910599
128  162.891617
160  180.278687
192  180.823837
224  188.335358
256  166.016251
278  202.317917
320  184.806625
352  210.017792
384  203.079834
416  200.784225
448  194.332474
480  193.074692
512  166.899902
544  251.572678
576  253.671356
608  245.172607
640  231.927078
672  236.175140
704  227.420578
736  226.751205
768  218.892441
800  206.334137
832  222.583160
864  208.714050
896  200.216156
928  201.834854
960  218.849670
992  208.458145
1024  173.034973
