bits, slices, ffs, luts, brams, dsps, cp achieved, cp requested
10    1    2    4    0    1    3.000    0.675    
15    1    2    4    0    1    3.000    0.675    
20    24    70    58    0    1    3.000    1.954    
25    4    7    7    0    2    3.000    1.440    
30    19    90    11    0    4    3.000    1.440    
35    17    87    11    0    4    3.000    1.440    
40    44    148    15    0    5    3.000    1.440    
45    79    334    69    0    9    3.000    1.523    
50    84    379    72    0    9    3.000    1.490    
55    134    503    172    0    9    3.000    2.699    
60    159    595    345    0    15    3.000    2.425    
65    171    645    325    0    16    3.000    2.144    
70    182    71    650    0    16    3.000    0.587    
75    189    76    664    0    17    3.000    0.587    
80    255    81    912    0    25    3.000    0.587    
